"sp_image";"sp_habitat";"order";"family";"sp_common";"sp_ebird"
"Geothlypis auricularis";"Geothlypis auricularis";"PASSERIFORMES";"Parulidae";"Black-lored Yellowthroat";"Geothlypis auricularis"
"Pterodroma madeira";"Pterodroma madeira";"PROCELLARIIFORMES";"Procellariidae";"Zino's Petrel";"Pterodroma madeira"
"Ninox odiosa";"Ninox odiosa";"STRIGIFORMES";"Strigidae";"New Britain Boobook";"Ninox odiosa"
"Buthraupis montana";"Buthraupis montana";"PASSERIFORMES";"Thraupidae";"Hooded Mountain-tanager";"Buthraupis montana"
"Myiagra ruficollis";"Myiagra ruficollis";"PASSERIFORMES";"Monarchidae";"Broad-billed Flycatcher";"Myiagra ruficollis"
"Formicarius moniliger";"Formicarius analis";"PASSERIFORMES";"Formicariidae";"Black-faced Antthrush";"Formicarius moniliger"
"Fulmarus glacialis";"Fulmarus glacialis";"PROCELLARIIFORMES";"Procellariidae";"Northern Fulmar";"Fulmarus glacialis"
"Dryocopus schulzi";"Hylatomus schulzii";"PICIFORMES";"Picidae";"Black-bodied Woodpecker";"Dryocopus schulzii"
"Calliphlox mitchellii";"Philodice mitchellii";"CAPRIMULGIFORMES";"Trochilidae";"Purple-throated Woodstar";"Philodice mitchellii"
"Anas penelope";"Mareca penelope";"ANSERIFORMES";"Anatidae";"Eurasian Wigeon";"Mareca penelope"
"Epinecrophylla spodionota";"Epinecrophylla spodionota";"PASSERIFORMES";"Thamnophilidae";"Foothill Stipplethroat";"Epinecrophylla spodionota"
"Tricholestes criniger";"Tricholestes criniger";"PASSERIFORMES";"Pycnonotidae";"Hairy-backed Bulbul";"Tricholestes criniger"
"Malacocincla cinereiceps";"Pellorneum cinereiceps";"PASSERIFORMES";"Pellorneidae";"Ashy-headed Babbler";"Pellorneum cinereiceps"
"Chlorostilbon canivetii";"Cynanthus canivetii";"CAPRIMULGIFORMES";"Trochilidae";"Canivet's Emerald";"Cynanthus canivetii"
"Tockus nasutus";"Lophoceros nasutus";"BUCEROTIFORMES";"Bucerotidae";"African Grey Hornbill";"Lophoceros nasutus"
"Thripadectes holostictus";"Thripadectes holostictus";"PASSERIFORMES";"Furnariidae";"Striped Treehunter";"Thripadectes holostictus"
"Anthus roseatus";"Anthus roseatus";"PASSERIFORMES";"Motacillidae";"Rosy Pipit";"Anthus roseatus"
"Vireo gracilirostris";"Vireo gracilirostris";"PASSERIFORMES";"Vireonidae";"Noronha Vireo";"Vireo gracilirostris"
"Malacopteron magnum";"Malacopteron magnum";"PASSERIFORMES";"Pellorneidae";"Rufous-crowned Babbler";"Malacopteron magnum"
"Xenops rutilans";"Xenops rutilus";"PASSERIFORMES";"Furnariidae";"Streaked Xenops";"Xenops rutilans"
"Treron waalia";"Treron waalia";"COLUMBIFORMES";"Columbidae";"Bruce's Green-pigeon";"Treron waalia"
"Calidris alpina";"Calidris alpina";"CHARADRIIFORMES";"Scolopacidae";"Dunlin";"Calidris alpina"
"Trichoglossus chlorolepidotus";"Trichoglossus chlorolepidotus";"PSITTACIFORMES";"Psittacidae";"Scaly-breasted Lorikeet";"Trichoglossus chlorolepidotus"
"Dendroica delicata";"Setophaga delicata";"PASSERIFORMES";"Parulidae";"Saint Lucia Warbler";"Setophaga delicata"
"Emberiza leucocephalos";"Emberiza leucocephalos";"PASSERIFORMES";"Emberizidae";"Pine Bunting";"Emberiza leucocephalos"
"Euphonia gouldi";"Euphonia gouldi";"PASSERIFORMES";"Fringillidae";"Olive-backed Euphonia";"Euphonia gouldi"
"Pomarea nigra";"Pomarea nigra";"PASSERIFORMES";"Monarchidae";"Tahiti Monarch";"Pomarea nigra"
"Nycticorax nycticorax";"Nycticorax nycticorax";"PELECANIFORMES";"Ardeidae";"Black-crowned Night Heron";"Nycticorax nycticorax"
"Neochmia ruficauda";"Neochmia ruficauda";"PASSERIFORMES";"Estrildidae";"Star Finch";"Emblema ruficauda"
"Xolmis irupero";"Xolmis irupero";"PASSERIFORMES";"Tyrannidae";"White Monjita";"Xolmis irupero"
"Chalcophaps stephani";"Chalcophaps stephani";"COLUMBIFORMES";"Columbidae";"Stephan's Dove";"Chalcophaps stephani"
"Xanthopsar flavus";"Xanthopsar flavus";"PASSERIFORMES";"Icteridae";"Saffron-cowled Blackbird";"Xanthopsar flavus"
"Accipiter ventralis";"Accipiter striatus";"ACCIPITRIFORMES";"Accipitridae";"Sharp-shinned Hawk";"Accipiter striatus"
"Cracticus torquatus";"Cracticus torquatus";"PASSERIFORMES";"Artamidae";"Grey Butcherbird";"Cracticus torquatus"
"Esacus recurvirostris";"Esacus recurvirostris";"CHARADRIIFORMES";"Burhinidae";"Great Thick-knee";"Esacus recurvirostris"
"Pardirallus nigricans";"Pardirallus nigricans";"GRUIFORMES";"Rallidae";"Blackish Rail";"Pardirallus nigricans"
"Xenopirostris xenopirostris";"Xenopirostris xenopirostris";"PASSERIFORMES";"Vangidae";"Lafresnaye's Vanga";"Xenopirostris xenopirostris"
"Phalacrocorax africanus";"Microcarbo africanus";"SULIFORMES";"Phalacrocoracidae";"Long-tailed Cormorant";"Microcarbo africanus"
"Sakesphorus luctuosus";"Sakesphorus luctuosus";"PASSERIFORMES";"Thamnophilidae";"Glossy Antshrike";"Sakesphorus luctuosus"
"Stachyris pyrrhops";"Cyanoderma pyrrhops";"PASSERIFORMES";"Timaliidae";"Black-chinned Babbler";"Cyanoderma pyrrhops"
"Muscicapa sibirica";"Muscicapa sibirica";"PASSERIFORMES";"Muscicapidae";"Dark-sided Flycatcher";"Muscicapa sibirica"
"Fulica caribaea";"Fulica americana";"GRUIFORMES";"Rallidae";"American Coot";"Fulica americana"
"Cettia cetti";"Cettia cetti";"PASSERIFORMES";"Scotocercidae";"Cetti's Warbler";"Cettia cetti"
"Saxicola macrorhynchus";"Saxicola macrorhynchus";"PASSERIFORMES";"Muscicapidae";"White-browed Bushchat";"Saxicola macrorhynchus"
"Afropavo congensis";"Afropavo congensis";"GALLIFORMES";"Phasianidae";"Congo Peafowl";"Afropavo congensis"
"Otus manadensis";"Otus manadensis";"STRIGIFORMES";"Strigidae";"Sulawesi Scops-owl";"Otus manadensis"
"Centropus ateralbus";"Centropus ateralbus";"CUCULIFORMES";"Cuculidae";"Pied Coucal";"Centropus ateralbus"
"Phytotoma rutila";"Phytotoma rutila";"PASSERIFORMES";"Cotingidae";"White-tipped Plantcutter";"Phytotoma rutila"
"Turdus grayi";"Turdus grayi";"PASSERIFORMES";"Turdidae";"Clay-colored Thrush";"Turdus grayi"
"Emberiza rustica";"Emberiza rustica";"PASSERIFORMES";"Emberizidae";"Rustic Bunting";"Emberiza rustica"
"Ploceus melanocephalus";"Ploceus melanocephalus";"PASSERIFORMES";"Ploceidae";"Black-headed Weaver";"Ploceus melanocephalus"
"Macrodipteryx longipennis";"Caprimulgus longipennis";"CAPRIMULGIFORMES";"Caprimulgidae";"Standard-winged Nightjar";"Caprimulgus longipennis"
"Talegalla cuvieri";"Talegalla cuvieri";"GALLIFORMES";"Megapodiidae";"Red-billed Brushturkey";"Talegalla cuvieri"
"Thalassarche cauta";"Thalassarche cauta";"PROCELLARIIFORMES";"Diomedeidae";"Shy Albatross";"Thalassarche cauta"
"Scolopax mira";"Scolopax mira";"CHARADRIIFORMES";"Scolopacidae";"Amami Woodcock";"Scolopax mira"
"Megalaima viridis";"Psilopogon viridis";"PICIFORMES";"Megalaimidae";"White-cheeked Barbet";"Psilopogon viridis"
"Zonotrichia capensis";"Zonotrichia capensis";"PASSERIFORMES";"Passerellidae";"Rufous-collared Sparrow";"Zonotrichia capensis"
"Polyboroides typus";"Polyboroides typus";"ACCIPITRIFORMES";"Accipitridae";"African Harrier-hawk";"Polyboroides typus"
"Terpsiphone cinnamomea";"Terpsiphone cinnamomea";"PASSERIFORMES";"Monarchidae";"Southern Rufous Paradise-flycatcher";"Terpsiphone cinnamomea"
"Artisornis metopias";"Artisornis metopias";"PASSERIFORMES";"Cisticolidae";"Red-capped Forest-warbler";"Artisornis metopias"
"Scotopelia peli";"Scotopelia peli";"STRIGIFORMES";"Strigidae";"Pel's Fishing-owl";"Scotopelia peli"
"Polioptila dumicola";"Polioptila dumicola";"PASSERIFORMES";"Polioptilidae";"Masked Gnatcatcher";"Polioptila dumicola"
"Pitta moluccensis";"Pitta moluccensis";"PASSERIFORMES";"Pittidae";"Blue-winged Pitta";"Pitta moluccensis"
"Chlorophonia pyrrhophrys";"Chlorophonia pyrrhophrys";"PASSERIFORMES";"Fringillidae";"Chestnut-breasted Chlorophonia";"Chlorophonia pyrrhophrys"
"Locustella fluviatilis";"Locustella fluviatilis";"PASSERIFORMES";"Locustellidae";"River Warbler";"Locustella fluviatilis"
"Psittacula krameri";"Alexandrinus krameri";"PSITTACIFORMES";"Psittacidae";"Rose-ringed Parakeet";"Psittacula krameri"
"Alcippe ludlowi";"Fulvetta ludlowi";"PASSERIFORMES";"Leiothrichidae";"Brown-throated Fulvetta";"Fulvetta ludlowi"
"Stachyris rufifrons";"Cyanoderma rufifrons";"PASSERIFORMES";"Timaliidae";"Rufous-fronted Babbler";"Cyanoderma rufifrons"
"Dendrocitta vagabunda";"Dendrocitta vagabunda";"PASSERIFORMES";"Corvidae";"Rufous Treepie";"Dendrocitta vagabunda"
"Pedionomus torquatus";"Pedionomus torquatus";"CHARADRIIFORMES";"Pedionomidae";"Plains-wanderer";"Pedionomus torquatus"
"Megascops cooperi";"Megascops cooperi";"STRIGIFORMES";"Strigidae";"Pacific Screech-owl";"Megascops cooperi"
"Cercomela sinuata";"Emarginata sinuata";"PASSERIFORMES";"Muscicapidae";"Sickle-winged Chat";"Emarginata sinuata"
"Grallaria quitensis";"Grallaria quitensis";"PASSERIFORMES";"Grallariidae";"Tawny Antpitta";"Grallaria quitensis"
"Glossopsitta concinna";"Glossopsitta concinna";"PSITTACIFORMES";"Psittacidae";"Musk Lorikeet";"Trichoglossus concinnus"
"Coracina ceramensis";"Edolisoma ceramense";"PASSERIFORMES";"Campephagidae";"Pale Cicadabird";"Edolisoma ceramense"
"Eubucco richardsoni";"Eubucco richardsoni";"PICIFORMES";"Capitonidae";"Lemon-throated Barbet";"Eubucco richardsoni"
"Circaetus cinereus";"Circaetus cinereus";"ACCIPITRIFORMES";"Accipitridae";"Brown Snake-eagle";"Circaetus cinereus"
"Icterus dominicensis";"Icterus dominicensis";"PASSERIFORMES";"Icteridae";"Hispaniolan Oriole";"Icterus dominicensis"
"Ploceus castanops";"Ploceus castanops";"PASSERIFORMES";"Ploceidae";"Northern Brown-throated Weaver";"Ploceus castanops"
"Parus fasciiventer";"Melaniparus fasciiventer";"PASSERIFORMES";"Paridae";"Stripe-breasted Tit";"Melaniparus fasciiventer"
"Stachyris ambigua";"Cyanoderma rufifrons";"PASSERIFORMES";"Timaliidae";"Rufous-fronted Babbler";"Cyanoderma rufifrons"
"Hirundo spilodera";"Petrochelidon spilodera";"PASSERIFORMES";"Hirundinidae";"South African Swallow";"Petrochelidon spilodera"
"Sturnus unicolor";"Sturnus unicolor";"PASSERIFORMES";"Sturnidae";"Spotless Starling";"Sturnus unicolor"
"Cyornis hyacinthinus";"Eumyias hyacinthinus";"PASSERIFORMES";"Muscicapidae";"Timor Warbling-flycatcher";"Eumyias hyacinthinus"
"Zonotrichia albicollis";"Zonotrichia albicollis";"PASSERIFORMES";"Passerellidae";"White-throated Sparrow";"Zonotrichia albicollis"
"Pyrrhocorax graculus";"Pyrrhocorax graculus";"PASSERIFORMES";"Corvidae";"Yellow-billed Chough";"Pyrrhocorax graculus"
"Stachyris nigrorum";"Zosterornis nigrorum";"PASSERIFORMES";"Timaliidae";"Negros Striped Babbler";"Zosterornis nigrorum"
"Oriolus melanotis";"Oriolus melanotis";"PASSERIFORMES";"Oriolidae";"Timor Oriole";"Oriolus melanotis"
"Sporophila intermedia";"Sporophila intermedia";"PASSERIFORMES";"Thraupidae";"Grey Seedeater";"Sporophila intermedia"
"Phacellodomus maculipectus";"Phacellodomus maculipectus";"PASSERIFORMES";"Furnariidae";"Spot-breasted Thornbird";"Phacellodomus maculipectus"
"Geranospiza caerulescens";"Geranospiza caerulescens";"ACCIPITRIFORMES";"Accipitridae";"Crane Hawk";"Geranospiza caerulescens"
"Crateroscelis murina";"Origma murina";"PASSERIFORMES";"Acanthizidae";"Rusty Mouse-warbler";"Origma murina"
"Eos histrio";"Eos histrio";"PSITTACIFORMES";"Psittacidae";"Red-and-blue Lory";"Trichoglossus histrio"
"Artamus personatus";"Artamus personatus";"PASSERIFORMES";"Artamidae";"Masked Woodswallow";"Artamus personatus"
"Strix aluco";"Strix aluco";"STRIGIFORMES";"Strigidae";"Tawny Owl";"Strix aluco"
"Florisuga mellivora";"Florisuga mellivora";"CAPRIMULGIFORMES";"Trochilidae";"White-necked Jacobin";"Florisuga mellivora"
"Cichladusa guttata";"Cichladusa guttata";"PASSERIFORMES";"Muscicapidae";"Spotted Palm-thrush";"Cichladusa guttata"
"Sterna aurantia";"Sterna aurantia";"CHARADRIIFORMES";"Laridae";"River Tern";"Sterna aurantia"
"Batis minulla";"Batis minulla";"PASSERIFORMES";"Platysteiridae";"Angola Batis";"Batis minulla"
"Parus niger";"Melaniparus niger";"PASSERIFORMES";"Paridae";"Southern Black Tit";"Melaniparus niger"
"Phaethon aethereus";"Phaethon aethereus";"PHAETHONTIFORMES";"Phaethontidae";"Red-billed Tropicbird";"Phaethon aethereus"
"Pyriglena leucoptera";"Pyriglena leucoptera";"PASSERIFORMES";"Thamnophilidae";"White-shouldered Fire-eye";"Pyriglena leucoptera"
"Trogon melanurus";"Trogon melanurus";"TROGONIFORMES";"Trogonidae";"Black-tailed Trogon";"Trogon melanurus"
"Tchagra minutus";"Bocagia minuta";"PASSERIFORMES";"Malaconotidae";"Marsh Tchagra";"Bocagia minuta"
"Cinclus schulzi";"Cinclus schulzii";"PASSERIFORMES";"Cinclidae";"Rufous-throated Dipper";"Cinclus schulzii"
"Anurolimnas fasciatus";"Porzana fasciata";"GRUIFORMES";"Rallidae";"Black-banded Crake";"Rufirallus fasciatus"
"Dacnis egregia";"Dacnis egregia";"PASSERIFORMES";"Thraupidae";"Yellow-tufted Dacnis";"Dacnis lineata"
"Parus cyanus";"Cyanistes cyanus";"PASSERIFORMES";"Paridae";"Azure Tit";"Cyanistes cyanus"
"Merops ornatus";"Merops ornatus";"CORACIIFORMES";"Meropidae";"Rainbow Bee-eater";"Merops ornatus"
"Cinclodes atacamensis";"Cinclodes atacamensis";"PASSERIFORMES";"Furnariidae";"White-winged Cinclodes";"Cinclodes atacamensis"
"Microcerculus ustulatus";"Microcerculus ustulatus";"PASSERIFORMES";"Troglodytidae";"Flutist Wren";"Microcerculus ustulatus"
"Acrocephalus arundinaceus";"Acrocephalus arundinaceus";"PASSERIFORMES";"Acrocephalidae";"Great Reed-warbler";"Acrocephalus arundinaceus"
"Lophura ignita";"Lophura ignita";"GALLIFORMES";"Phasianidae";"Bornean Crested Fireback";"Lophura ignita"
"Parus monticolus";"Parus monticolus";"PASSERIFORMES";"Paridae";"Green-backed Tit";"Parus monticolus"
"Amazilia rutila";"Amazilia rutila";"CAPRIMULGIFORMES";"Trochilidae";"Cinnamon Hummingbird";"Amazilia rutila"
"Delichon nipalense";"Delichon nipalense";"PASSERIFORMES";"Hirundinidae";"Nepal House Martin";"Delichon nipalense"
"Euphonia hirundinacea";"Euphonia hirundinacea";"PASSERIFORMES";"Fringillidae";"Yellow-throated Euphonia";"Euphonia hirundinacea"
"Poospiza caesar";"Poospizopsis caesar";"PASSERIFORMES";"Thraupidae";"Chestnut-breasted Mountain-finch";"Poospizopsis caesar"
"Cypsnagra hirundinacea";"Cypsnagra hirundinacea";"PASSERIFORMES";"Thraupidae";"White-rumped Tanager";"Cypsnagra hirundinacea"
"Larus atricilla";"Larus atricilla";"CHARADRIIFORMES";"Laridae";"Laughing Gull";"Leucophaeus atricilla"
"Dicrurus macrocercus";"Dicrurus macrocercus";"PASSERIFORMES";"Dicruridae";"Black Drongo";"Dicrurus macrocercus"
"Cisticola juncidis";"Cisticola juncidis";"PASSERIFORMES";"Cisticolidae";"Zitting Cisticola";"Cisticola juncidis"
"Psilopogon pyrolophus";"Psilopogon pyrolophus";"PICIFORMES";"Megalaimidae";"Fire-tufted Barbet";"Psilopogon pyrolophus"
"Cercomela scotocerca";"Oenanthe scotocerca";"PASSERIFORMES";"Muscicapidae";"Brown-tailed Chat";"Oenanthe scotocerca"
"Sylvia lugens";"Curruca lugens";"PASSERIFORMES";"Sylviidae";"Brown Warbler";"Curruca lugens"
"Pellorneum capistratum";"Pellorneum capistratum";"PASSERIFORMES";"Pellorneidae";"Rufous-browed Babbler";"Pellorneum capistratum"
"Parotia lawesii";"Parotia lawesii";"PASSERIFORMES";"Paradisaeidae";"Lawes's Parotia";"Parotia lawesii"
"Micrastur gilvicollis";"Micrastur gilvicollis";"FALCONIFORMES";"Falconidae";"Lined Forest-falcon";"Micrastur gilvicollis"
"Aimophila humeralis";"Peucaea humeralis";"PASSERIFORMES";"Passerellidae";"Black-chested Sparrow";"Peucaea humeralis"
"Emberiza affinis";"Emberiza affinis";"PASSERIFORMES";"Emberizidae";"Brown-rumped Bunting";"Emberiza affinis"
"Pitta maxima";"Pitta maxima";"PASSERIFORMES";"Pittidae";"Ivory-breasted Pitta";"Pitta maxima"
"Nectarinia asiatica";"Cinnyris asiaticus";"PASSERIFORMES";"Nectariniidae";"Purple Sunbird";"Cinnyris asiaticus"
"Sitta frontalis";"Sitta frontalis";"PASSERIFORMES";"Sittidae";"Velvet-fronted Nuthatch";"Sitta frontalis"
"Geositta tenuirostris";"Geositta tenuirostris";"PASSERIFORMES";"Furnariidae";"Slender-billed Miner";"Geositta tenuirostris"
"Monarcha barbatus";"Symposiachrus barbatus";"PASSERIFORMES";"Monarchidae";"Solomons Pied Monarch";"Symposiachrus barbatus"
"Harpactes oreskios";"Harpactes oreskios";"TROGONIFORMES";"Trogonidae";"Orange-breasted Trogon";"Harpactes oreskios"
"Chloroceryle inda";"Chloroceryle inda";"CORACIIFORMES";"Alcedinidae";"Green-and-rufous Kingfisher";"Chloroceryle inda"
"Chalybura buffonii";"Chalybura buffonii";"CAPRIMULGIFORMES";"Trochilidae";"White-vented Plumeleteer";"Chalybura buffonii"
"Melidectes leucostephes";"Melidectes leucostephes";"PASSERIFORMES";"Meliphagidae";"Vogelkop Melidectes";"Melidectes leucostephes"
"Empidonax virescens";"Empidonax virescens";"PASSERIFORMES";"Tyrannidae";"Acadian Flycatcher";"Empidonax virescens"
"Ptilinopus aurantiifrons";"Ptilinopus aurantiifrons";"COLUMBIFORMES";"Columbidae";"Orange-fronted Fruit-dove";"Ptilinopus aurantiifrons"
"Erythrocercus mccallii";"Erythrocercus mccallii";"PASSERIFORMES";"Scotocercidae";"Chestnut-capped Flycatcher";"Erythrocercus mccallii"
"Tangara larvata";"Tangara larvata";"PASSERIFORMES";"Thraupidae";"Golden-hooded Tanager";"Stilpnia larvata"
"Geocolaptes olivaceus";"Geocolaptes olivaceus";"PICIFORMES";"Picidae";"Ground Woodpecker";"Geocolaptes olivaceus"
"Alectrurus tricolor";"Alectrurus tricolor";"PASSERIFORMES";"Tyrannidae";"Cock-tailed Tyrant";"Alectrurus tricolor"
"Sericornis humilis";"Sericornis humilis";"PASSERIFORMES";"Acanthizidae";"Tasmanian Scrubwren";"Sericornis humilis"
"Pycnonotus finlaysoni";"Pycnonotus finlaysoni";"PASSERIFORMES";"Pycnonotidae";"Stripe-throated Bulbul";"Pycnonotus finlaysoni"
"Urocissa ornata";"Urocissa ornata";"PASSERIFORMES";"Corvidae";"Sri Lanka Blue Magpie";"Urocissa ornata"
"Poospiza whitii";"Poospiza whitii";"PASSERIFORMES";"Thraupidae";"Black-and-chestnut Warbling-finch";"Poospiza whitii"
"Numenius tahitiensis";"Numenius tahitiensis";"CHARADRIIFORMES";"Scolopacidae";"Bristle-thighed Curlew";"Numenius tahitiensis"
"Megalaima zeylanica";"Psilopogon zeylanicus";"PICIFORMES";"Megalaimidae";"Brown-headed Barbet";"Psilopogon zeylanicus"
"Oriturus superciliosus";"Oriturus superciliosus";"PASSERIFORMES";"Passerellidae";"Striped Sparrow";"Oriturus superciliosus"
"Anthus brachyurus";"Anthus brachyurus";"PASSERIFORMES";"Motacillidae";"Short-tailed Pipit";"Anthus brachyurus"
"Locustella pryeri";"Helopsaltes pryeri";"PASSERIFORMES";"Locustellidae";"Marsh Grassbird";"Helopsaltes pryeri"
"Myiozetetes similis";"Myiozetetes similis";"PASSERIFORMES";"Tyrannidae";"Social Flycatcher";"Myiozetetes similis"
"Parus semilarvatus";"Sittiparus semilarvatus";"PASSERIFORMES";"Paridae";"White-fronted Tit";"Sittiparus semilarvatus"
"Rhinomyias umbratilis";"Cyornis umbratilis";"PASSERIFORMES";"Muscicapidae";"Grey-chested Jungle-flycatcher";"Cyornis umbratilis"
"Uraeginthus granatinus";"Granatina granatina";"PASSERIFORMES";"Estrildidae";"Violet-eared Waxbill";"Granatina granatina"
"Gallinago nigripennis";"Gallinago nigripennis";"CHARADRIIFORMES";"Scolopacidae";"African Snipe";"Gallinago nigripennis"
"Poicephalus rufiventris";"Poicephalus rufiventris";"PSITTACIFORMES";"Psittacidae";"Red-bellied Parrot";"Poicephalus rufiventris"
"Chaetocercus jourdanii";"Chaetocercus jourdanii";"CAPRIMULGIFORMES";"Trochilidae";"Rufous-shafted Woodstar";"Chaetocercus jourdanii"
"Ortalis motmot";"Ortalis motmot";"GALLIFORMES";"Cracidae";"Little Chachalaca";"Ortalis motmot"
"Tauraco persa";"Tauraco persa";"MUSOPHAGIFORMES";"Musophagidae";"Green Turaco";"Tauraco persa"
"Scolopax rusticola";"Scolopax rusticola";"CHARADRIIFORMES";"Scolopacidae";"Eurasian Woodcock";"Scolopax rusticola"
"Eremomela pusilla";"Eremomela pusilla";"PASSERIFORMES";"Cisticolidae";"Senegal Eremomela";"Eremomela pusilla"
"Charmosyna papou";"Charmosyna papou";"PSITTACIFORMES";"Psittacidae";"Papuan Lorikeet";"Charmosyna papou"
"Galbula cyanescens";"Galbula cyanescens";"PICIFORMES";"Galbulidae";"Bluish-fronted Jacamar";"Galbula cyanescens"
"Sephanoides fernandensis";"Sephanoides fernandensis";"CAPRIMULGIFORMES";"Trochilidae";"Juan Fernandez Firecrown";"Sephanoides fernandensis"
"Cypseloides niger";"Cypseloides niger";"CAPRIMULGIFORMES";"Apodidae";"Black Swift";"Cypseloides niger"
"Luscinia brunnea";"Larvivora brunnea";"PASSERIFORMES";"Muscicapidae";"Indian Blue Robin";"Larvivora brunnea"
"Gypsophila crispifrons";"Gypsophila crispifrons";"PASSERIFORMES";"Pellorneidae";"Variable Limestone-babbler";"Gypsophila crispifrons"
"Furnarius leucopus";"Furnarius leucopus";"PASSERIFORMES";"Furnariidae";"Pale-legged Hornero";"Furnarius leucopus"
"Sturnus malabaricus";"Sturnia malabarica";"PASSERIFORMES";"Sturnidae";"Chestnut-tailed Starling";"Sturnia malabarica"
"Neochmia temporalis";"Neochmia temporalis";"PASSERIFORMES";"Estrildidae";"Red-browed Finch";"Neochmia temporalis"
"Melopsittacus undulatus";"Melopsittacus undulatus";"PSITTACIFORMES";"Psittacidae";"Budgerigar";"Melopsittacus undulatus"
"Synallaxis propinqua";"Mazaria propinqua";"PASSERIFORMES";"Furnariidae";"White-bellied Spinetail";"Mazaria propinqua"
"Phalacrocorax coronatus";"Microcarbo coronatus";"SULIFORMES";"Phalacrocoracidae";"Crowned Cormorant";"Microcarbo coronatus"
"Amytornis woodwardi";"Amytornis woodwardi";"PASSERIFORMES";"Maluridae";"White-throated Grasswren";"Amytornis woodwardi"
"Garrulax lunulatus";"Ianthocincla lunulata";"PASSERIFORMES";"Leiothrichidae";"Barred Laughingthrush";"Ianthocincla lunulata"
"Buteo augur";"Buteo augur";"ACCIPITRIFORMES";"Accipitridae";"Augur Buzzard";"Buteo augur"
"Coccycolius iris";"Lamprotornis iris";"PASSERIFORMES";"Sturnidae";"Emerald Starling";"Lamprotornis iris"
"Fringilla teydea";"Fringilla teydea";"PASSERIFORMES";"Fringillidae";"Tenerife Blue Chaffinch";"Fringilla teydea"
"Monias benschi";"Monias benschi";"MESITORNITHIFORMES";"Mesitornithidae";"Subdesert Mesite";"Monias benschi"
"Stizorhina finschi";"Stizorhina fraseri";"PASSERIFORMES";"Turdidae";"Rufous Flycatcher-thrush";"Stizorhina finschi"
"Agapornis roseicollis";"Agapornis roseicollis";"PSITTACIFORMES";"Psittacidae";"Rosy-faced Lovebird";"Agapornis roseicollis"
"Alectoris rufa";"Alectoris rufa";"GALLIFORMES";"Phasianidae";"Red-legged Partridge";"Alectoris rufa"
"Tockus hartlaubi";"Horizocerus hartlaubi";"BUCEROTIFORMES";"Bucerotidae";"Western Dwarf Hornbill";"Horizocerus hartlaubi"
"Ortalis cinereiceps";"Ortalis cinereiceps";"GALLIFORMES";"Cracidae";"Grey-headed Chachalaca";"Ortalis cinereiceps"
"Petroica australis";"Petroica australis";"PASSERIFORMES";"Petroicidae";"South Island Robin";"Petroica australis"
"Melidectes belfordi";"Melidectes belfordi";"PASSERIFORMES";"Meliphagidae";"Belford's Melidectes";"Melidectes belfordi"
"Tangara vitriolina";"Tangara vitriolina";"PASSERIFORMES";"Thraupidae";"Scrub Tanager";"Stilpnia vitriolina"
"Lybius undatus";"Lybius undatus";"PICIFORMES";"Lybiidae";"Banded Barbet";"Lybius undatus"
"Empidonax atriceps";"Empidonax atriceps";"PASSERIFORMES";"Tyrannidae";"Black-capped Flycatcher";"Empidonax atriceps"
"Melilestes megarhynchus";"Melilestes megarhynchus";"PASSERIFORMES";"Meliphagidae";"Long-billed Honeyeater";"Melilestes megarhynchus"
"Psophia crepitans";"Psophia crepitans";"GRUIFORMES";"Psophiidae";"Grey-winged Trumpeter";"Psophia crepitans"
"Pomatorhinus erythrocnemis";"Erythrogenys erythrocnemis";"PASSERIFORMES";"Timaliidae";"Black-necklaced Scimitar-babbler";"Erythrogenys erythrocnemis"
"Cranioleuca vulpecula";"Cranioleuca vulpecula";"PASSERIFORMES";"Furnariidae";"Parker's Spinetail";"Cranioleuca vulpecula"
"Loriculus sclateri";"Loriculus sclateri";"PSITTACIFORMES";"Psittacidae";"Sula Hanging-parrot";"Loriculus sclateri"
"Oryzoborus funereus";"Sporophila funerea";"PASSERIFORMES";"Thraupidae";"Thick-billed Seed-finch";"Sporophila funerea"
"Poeoptera stuhlmanni";"Poeoptera stuhlmanni";"PASSERIFORMES";"Sturnidae";"Stuhlmann's Starling";"Poeoptera stuhlmanni"
"Anhinga anhinga";"Anhinga anhinga";"SULIFORMES";"Anhingidae";"Anhinga";"Anhinga anhinga"
"Andigena hypoglauca";"Andigena hypoglauca";"PICIFORMES";"Ramphastidae";"Grey-breasted Mountain-toucan";"Andigena hypoglauca"
"Thalurania fannyi";"Thalurania colombica";"CAPRIMULGIFORMES";"Trochilidae";"Crowned Woodnymph";"Thalurania colombica"
"Niltava davidi";"Niltava davidi";"PASSERIFORMES";"Muscicapidae";"Fujian Niltava";"Niltava davidi"
"Treron sanctithomae";"Treron sanctithomae";"COLUMBIFORMES";"Columbidae";"Sao Tome Green-pigeon";"Treron sanctithomae"
"Lybius guifsobalito";"Lybius guifsobalito";"PICIFORMES";"Lybiidae";"Black-billed Barbet";"Lybius guifsobalito"
"Erythrogonys cinctus";"Erythrogonys cinctus";"CHARADRIIFORMES";"Charadriidae";"Red-kneed Dotterel";"Erythrogonys cinctus"
"Campethera abingoni";"Campethera abingoni";"PICIFORMES";"Picidae";"Golden-tailed Woodpecker";"Campethera abingoni"
"Philemon inornatus";"Philemon inornatus";"PASSERIFORMES";"Meliphagidae";"Timor Friarbird";"Philemon inornatus"
